ID,"Tank ID","Farm ID","Feed Quantity",Meals,"Feed Date"
2439,1284,115,8.06,4,2026-09-01
2438,1284,115,8.06,3,2026-09-01
2437,1284,115,8.06,2,2026-09-01
2436,1284,115,8.06,1,2026-09-01
2435,1284,115,8.06,4,2026-08-31
2434,1284,115,8.06,3,2026-08-31
2433,1284,115,8.06,2,2026-08-31
2432,1284,115,8.06,1,2026-08-31
2431,1284,115,8.06,4,2026-08-30
2430,1284,115,8.06,3,2026-08-30
2429,1284,115,8.06,2,2026-08-30
2428,1284,115,8.06,1,2026-08-30
2427,1284,115,8.06,4,2026-08-29
2426,1284,115,8.06,3,2026-08-29
2425,1284,115,8.06,2,2026-08-29
2424,1284,115,8.06,1,2026-08-29
2423,1284,115,8.06,4,2026-08-28
2422,1284,115,8.06,3,2026-08-28
2421,1284,115,8.06,2,2026-08-28
2420,1284,115,8.06,1,2026-08-28
2419,1284,115,8.06,4,2026-08-27
2418,1284,115,8.06,3,2026-08-27
2417,1284,115,8.06,2,2026-08-27
2416,1284,115,8.06,1,2026-08-27
2415,1284,115,8.06,4,2026-08-26
2414,1284,115,8.06,3,2026-08-26
2413,1284,115,8.06,2,2026-08-26
2412,1284,115,8.06,1,2026-08-26
2411,1284,115,8.06,4,2026-08-25
2410,1284,115,8.06,3,2026-08-25
2409,1284,115,8.06,2,2026-08-25
2408,1284,115,8.06,1,2026-08-25
2407,1284,115,8.06,4,2026-08-24
2406,1284,115,8.06,3,2026-08-24
2405,1284,115,8.07,2,2026-08-24
2404,1284,115,8.07,1,2026-08-24
2403,1284,115,8.07,4,2026-08-23
2402,1284,115,8.07,3,2026-08-23
2401,1284,115,8.07,2,2026-08-23
2400,1284,115,8.07,1,2026-08-23
2399,1284,115,8.07,4,2026-08-22
2398,1284,115,8.07,3,2026-08-22
2397,1284,115,8.07,2,2026-08-22
2396,1284,115,8.07,1,2026-08-22
2395,1284,115,8.07,4,2026-08-21
2394,1284,115,8.07,3,2026-08-21
2393,1284,115,8.07,2,2026-08-21
2392,1284,115,8.07,1,2026-08-21
2391,1284,115,8.07,4,2026-08-20
2390,1284,115,8.07,3,2026-08-20
2389,1284,115,8.07,2,2026-08-20
2388,1284,115,8.07,1,2026-08-20
2387,1284,115,8.07,3,2026-08-19
2386,1284,115,8.07,2,2026-08-19
2385,1284,115,8.07,1,2026-08-19
2384,1284,115,8.07,3,2026-08-18
2383,1284,115,8.07,2,2026-08-18
2382,1284,115,8.07,1,2026-08-18
2381,1284,115,8.07,2,2026-08-17
2380,1284,115,8.07,1,2026-08-17
2379,1284,115,8.07,2,2026-08-16
2378,1284,115,8.07,1,2026-08-16
